image_name,predicted_score
Pempheris_vanicolensis_A_1.png,1369.211
Sebastes_oculatus_A_2.png,1328.8313
Carangoides_ferdau_A_2.png,1225.6118
Anisotremus_virginicus_A_1.png,1673.8622
Sparisoma_rubripinne_J_1.png,1530.3623
Pomacanthus_semicirculatus_A_1.png,1731.5121
Epinephelus_guttatus_A_1.png,1493.0359
Elacatinus_evelynae_A_2.png,1436.8516
Symphorichthys_spilurus_A_1.png,1704.6685
Plagiotremus_ewaensis_A_1.png,1586.464
Lutjanus_ehrenbergii_A_2.png,1389.2917
Hypsoblennius_proteus_A_1.png,1392.785
Anisotremus_surinamensis_A_1.png,1302.5156
Cetoscarus_bicolor_F_1.png,1483.8463
Parupeneus_porphyreus_A_2.png,1342.1606
Scorpaenopsis_neglecta_A_4.png,1394.4551
Gobiodon_okinawae_A_2.png,1522.8735
Naso_elegans_J_1.png,1560.154
Parapriacanthus_ransonneti_A_2.png,1351.9314
Scorpaena_guttata_A_2.png,1518.7175
Cheilodactylus_pixi_A_1.png,1382.9028
Haletta_semifasciata_M_2.png,1172.565
Rhomboplites_aurorubens_A_1.png,1257.3779
Myoxocephalus_scorpius_A_4.png,1435.7426
Monotaxis_grandoculis_juv_80.png,1272.352
Cephalopholis_argus_A_1.png,1572.6716
Pterapogon_kauderni_A_1.png,1615.0093
Chromis_viridis_M_1.png,1521.9155
Cephalopholis_fulva_A_1.png,1431.857
Siganus_corallinus_A_2.png,1608.6038
Parablennius_laticlavius_A_1.png,1413.9585
Amphiprion_akallopisos_141.png,1521.5348
Hypoplectrus_puella_A_1.png,1519.252
Caesioscorpis_theagenes_A_1.png,1205.2963
Gobius_niger_A_3.png,1376.4402
Anampses_twistii_A_1.png,1597.7344
Ecsenius_alleni_A_1.png,1422.6086
Coris_gaimard_J_2.png,1681.0603
Bothragonus_occidentalis_A_1.png,1300.3696
Amblycirrhitus_pinos_A_1.png,1426.2742
Halichoeres_chloropterus_J_2.png,1430.6704
Acanthaluteres_vittiger_F_1.png,1427.0813
Gymnothorax_pictus_A_2.png,1171.1132
Sparisoma_radians_M_2.png,1426.2867
Pomacentrus_adelus_A_2.png,1381.0605
Serranus_tabacarius_A_3.png,1422.9465
Chaetodon_auriga_J_1.png,1629.6262
Chaetodon_sedentarius_A_1.png,1474.5275
Canthigaster_punctatissima_A_1.png,1651.6989
Coris_formosa_F_1.png,1528.7657
Thalassoma_hebraicum_J_1.png,1434.2083
Acanthochromis_polyacanthus_A_4.png,1566.3105
Lethrinus_olivaceus_A_1.png,1196.1731
Lutjanus_jordani_A_2.png,1303.7319
Cantherhines_fronticinctus_A_1.png,1500.4014
Plagiotremus_tapeinosoma_A_1.png,1474.8464
Coris_sandeyeri_F_1.png,1350.765
Gasterosteus_aculeatus_F_1.png,1206.0879
Muraena_helena_A_1.png,1351.0652
Semicossyphus_darwini_F_1.png,1346.595
Cryptocentrus_fasciatus_A_3.png,1355.4753
Thalassoma_heiseri_F_1.png,1246.5332
Pomacanthus_sexstriatus_A_2.png,1667.872
Neoglyphidodon_melas_J_2.png,1442.3145
Canthigaster_janthinoptera_A_1.png,1564.2957
Bodianus_perditio_A_1.png,1445.1182
Halichoeres_leucurus_M_1.png,1600.6992
Scolopsis_vosmeri_A_1.png,1249.8872
Thalassoma_hebraicum_134.png,1448.1926
Arothron_meleagris_yellow_15.png,1439.7439
Anampses_cuvier_F_1.png,1657.1753
Apogon_retrosella_A_1.png,1287.4402
Symphodus_rostratus_A_3.png,1255.806
Acanthochromis_polyacanthus_A_1.png,1421.1113
Gobiodon_histrio_A_2.png,1634.7897
Zabidius_novemaculeatus_A_1.png,1243.6005
Gobiosoma_hildebrandi_F_2.png,1225.1637
Ostracion_immaculatus_A_1.png,1528.6675
Meiacanthus_grammistes_A_3.png,1476.5881
Chlorurus_atrilunula_F_1.png,1430.2014
Acanthemblemaria_crockeri_A_1.png,1404.1685
Sufflamen_albicaudatum_A_2.png,1501.3092
Cymatoceps_nasutus_A_1.png,1243.1716
Chromis_margaritifer_A_3.png,1388.6687
Prionurus_microlepidotus_A_1.png,1257.4158
Sarda_orientalis_A_2.png,1184.1628
Sphyraena_helleri_A_1.png,1255.7524
Sebastes_mystinus_A_1.png,1227.5544
Amphiprion_perideraion_A_1.png,1575.5435
Seriola_rivoliana_A_1.png,1133.4532
Labrus_merula_M_2.png,1318.0842
Psammoperca_waigiensis_A_1.png,1216.6235
Leptojulis_cyanopleura_M_2.png,1440.4674
Lutjanus_alexandrei_A_1.png,1408.2168
Oxymonacanthus_longirostris_A_1.png,1732.5548
Cirrhilabrus_punctatus_M_1.png,1565.1052
Symphorus_nematophorus_A_3.png,1465.0437
Thalassoma_robertsoni_M_2.png,1403.5336
Plectorhinchus_polytaenia_A_1.png,1669.8994
Prionurus_maculatus_A_1.png,1427.1833
Enneapterygius_kermadecensis_A_1.png,1391.0054
Halichoeres_salmofasciatus_J_2.png,1390.6082
Malacanthus_plumieri_J_1.png,1416.429
Heniochus_diphreutes_A_1.png,1641.427
Abudefduf_concolor_A_2.png,1444.4949
Stethojulis_terina_F_1.png,1259.439
Halichoeres_marginatus_J_3.png,1589.7952
Kyphosus_cinerascens_69.png,1440.9192
Parma_polylepis_A_2.png,1324.3016
Seriola_dumerili_A_2.png,1249.8438
Dascyllus_aruanus_J_1.png,1635.073
Halichoeres_ornatissimus_J_1.png,1633.2854
Cheiloprion_labiatus_J_2.png,1658.783
Diodon_hystrix_A_2.png,1494.7113
Naso_brachycentron_M_2.png,1258.9583
Tripterygion_delaisi_M_1.png,1528.981
Stethojulis_interrupta_M_1.png,1461.6184
Stegastes_punctatus_A_3.png,1296.8075
Calloplesiops_altivelis_A_2.png,1870.1771
Scarus_psittacus_F_2.png,1259.4297
